iter	Quantile:alpha=0.95
1626	7048.188847
1627	7047.737582
1628	7046.818031
1629	7046.031436
1630	7045.580528
1631	7044.401889
1632	7043.589503
1633	7043.143725
1634	7042.375672
1635	7041.500579
1636	7040.723336
1637	7039.982669
1638	7039.14279
1639	7038.637866
1640	7038.149353
1641	7037.121048
1642	7036.245597
1643	7035.620519
1644	7034.951956
1645	7034.628283
1646	7034.3301
1647	7033.73508
1648	7033.279294
1649	7032.690341
1650	7031.55704
1651	7031.02604
1652	7030.522424
1653	7029.79619
1654	7028.992457
1655	7028.583101
1656	7027.852747
1657	7027.379952
1658	7026.706004
